Food Category;Units;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;;;;;;
;g;35;34;30;34;33;29;28;32;32;32;32;29;31;38;27;28;29;33;27;;;;;;;;
;g;35;24;26;23;22;27;20;28;22;20;25;28;31;25;30;31;18;23;16;;;;;;;;
;g;24;28;30;27;28;25;28;21;20;23;28;16;21;19;21;23;22;20;24;;;;;;;;
;g;10;13;13;16;15;14;14;12;12;11;15;8;9;11;11;13;15;9;10;;;;;;;;
;g;14;15;17;11;14;12;13;9;8;12;13;8;12;9;11;10;7;11;14;;;;;;;;
;g;5;6;6;8;6;7;8;6;6;10;8;6;5;8;5;5;9;3;7;;;;;;;;
;g;101;90;118;88;121;104;118;113;161;73;84;102;109;130;156;173;62;52;75;;;;;;;;
;g;85;76;99;68;104;89;105;95;141;57;61;87;88;107;137;155;40;35;56;;;;;;;;
;g;3;3;4;3;3;3;5;6;10;5;10;8;12;14;9;9;11;11;11;;;;;;;;
;g;13;11;15;18;14;13;8;12;10;11;12;7;8;9;10;9;11;6;8;;;;;;;;
;g;0;3;3;2;3;8;2;2;6;1;2;2;4;2;5;5;3;3;2;;;;;;;;
;g;1;1;2;1;1;1;1;0;2;1;1;2;0;1;1;2;0;3;0;;;;;;;;
;g;12;13;9;7;6;6;6;14;5;10;9;10;9;12;6;7;6;6;10;;;;;;;;
;g;87;99;81;84;83;85;104;107;82;88;104;94;90;91;86;87;105;101;78;;;;;;;;
;g;42;37;32;31;28;34;39;39;26;26;26;28;25;21;25;24;44;26;20;;;;;;;;
;g;45;62;48;53;54;50;65;67;56;61;77;65;63;68;61;63;60;75;57;;;;;;;;
;g;0;0;0;0;1;1;0;1;0;1;0;1;2;1;0;0;1;1;1;;;;;;;;
;g;64;63;67;75;90;64;74;67;65;77;84;90;69;86;89;97;70;80;74;;;;;;;;
;g;44;43;47;49;61;42;50;50;44;57;61;53;50;57;55;54;45;60;55;;;;;;;;
;g;20;20;20;26;29;22;25;17;21;20;23;37;19;29;35;43;25;20;19;;;;;;;;
;g;57;56;53;60;52;56;63;59;65;66;78;60;65;76;75;76;79;81;92;;;;;;;;
